Rk,Season,Tm,Plyf,Lg,G,W,L,W/L%,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
338,2007-08,PHO,*,NBA,82,55,27,.671,41.1,90.0,35.4,73.8,5.7,16.2,17.2,22.9,13.4,30.5,43.9,19.6,7.3,3.8,13.4,21.1,105.0
339,2007-08,PHI,*,NBA,82,40,42,.488,36.6,79.3,29.8,60.4,6.8,18.9,16.2,21.0,11.3,28.0,39.2,23.2,6.7,5.1,15.7,20.8,96.2
340,2007-08,ORL,*,NBA,82,52,30,.634,37.3,83.6,31.0,66.0,6.3,17.6,18.2,24.1,11.0,30.7,41.7,21.5,7.1,4.2,13.2,23.1,99.0
341,2007-08,NYK,,NBA,82,23,59,.280,38.8,81.8,31.7,62.4,7.2,19.4,18.7,25.3,11.3,31.4,42.6,21.6,7.6,5.2,12.8,20.3,103.5
342,2007-08,NOH,*,NBA,82,56,26,.683,37.0,80.5,30.4,61.6,6.6,18.9,14.8,19.3,9.9,30.9,40.8,21.7,5.7,4.0,13.9,19.2,95.6
343,2007-08,NJN,,NBA,82,34,48,.415,36.4,79.8,29.9,62.1,6.5,17.7,21.6,28.2,10.9,30.7,41.6,22.1,8.1,4.4,13.4,22.4,100.9
344,2007-08,MIN,,NBA,82,22,60,.268,37.3,79.0,30.7,60.5,6.6,18.5,21.2,27.6,10.6,31.0,41.7,23.2,7.4,5.7,13.5,17.5,102.4
345,2007-08,MIL,,NBA,82,26,56,.317,38.4,80.0,31.2,61.4,7.2,18.7,20.0,26.1,10.6,30.0,40.7,23.3,7.9,4.9,13.7,21.1,103.9
346,2007-08,MIA,,NBA,82,15,67,.183,36.9,79.0,30.2,60.7,6.7,18.3,19.4,25.7,11.2,31.9,43.1,22.2,7.7,4.2,14.2,20.1,100.0
347,2007-08,MEM,,NBA,82,22,60,.268,41.4,86.3,34.2,66.5,7.2,19.8,16.9,21.8,11.4,33.2,44.5,23.9,8.7,4.9,13.4,22.5,106.9
348,2007-08,LAL,*,NBA,82,57,25,.695,38.1,85.6,31.4,67.0,6.8,18.7,18.3,24.3,12.0,30.7,42.8,21.9,7.7,4.5,14.2,22.6,101.3
349,2007-08,LAC,,NBA,82,23,59,.280,38.0,81.3,32.0,64.4,5.9,17.0,19.2,25.6,11.2,32.4,43.6,22.4,7.2,4.7,13.6,21.6,101.1
350,2007-08,IND,,NBA,82,36,46,.439,37.7,83.1,30.3,64.0,7.4,19.2,22.6,29.8,11.3,34.1,45.5,22.2,8.1,5.1,15.8,21.7,105.4
351,2007-08,HOU,*,NBA,82,55,27,.671,34.8,80.4,29.5,66.0,5.3,14.5,17.2,23.3,10.9,29.8,40.7,18.9,7.6,4.6,13.3,19.7,92.0
352,2007-08,GSW,,NBA,82,48,34,.585,39.9,85.3,32.9,66.4,7.0,19.0,22.0,29.0,12.8,34.2,47.0,23.6,6.9,5.0,16.9,21.2,108.8
353,2007-08,DET,*,NBA,82,59,23,.720,33.3,76.1,28.3,61.0,5.0,15.0,18.6,25.0,10.5,28.6,39.1,19.1,5.8,3.9,13.5,19.7,90.1
354,2007-08,DEN,*,NBA,82,50,32,.610,40.7,89.1,33.1,68.2,7.6,20.9,18.1,24.7,12.7,32.7,45.4,25.7,7.9,4.8,16.4,23.8,107.0
355,2007-08,DAL,*,NBA,82,51,31,.622,35.4,79.9,30.4,65.6,5.0,14.2,20.1,26.4,10.8,29.5,40.3,18.9,6.5,4.4,12.2,21.2,95.9
356,2007-08,CLE,*,NBA,82,45,37,.549,35.8,78.8,29.7,61.5,6.2,17.3,18.9,25.2,9.9,30.5,40.4,21.0,6.8,4.7,13.3,20.3,96.7
357,2007-08,CHI,,NBA,82,33,49,.402,36.4,80.3,29.4,61.7,7.0,18.6,20.7,27.0,11.1,31.5,42.6,21.9,7.9,5.7,15.3,21.3,100.4
358,2007-08,CHA,,NBA,82,32,50,.390,38.0,81.5,31.7,63.8,6.3,17.8,19.2,25.6,12.2,31.6,43.7,21.8,7.6,5.8,14.4,21.0,101.4
359,2007-08,BOS,*,NBA,82,66,16,.805,32.4,77.3,26.5,58.6,5.9,18.7,19.6,26.3,11.0,27.9,38.9,18.8,7.2,4.7,16.0,22.2,90.3
360,2007-08,ATL,*,NBA,82,37,45,.451,38.0,82.1,31.7,64.9,6.2,17.2,17.8,23.7,11.8,29.1,40.9,22.3,7.5,5.1,13.7,21.9,100.0
361,2006-07,WAS,*,NBA,82,41,41,.500,38.6,81.7,31.3,62.4,7.3,19.3,20.3,26.2,11.9,31.1,43.0,23.7,6.3,4.6,15.7,23.5,104.9
362,2006-07,UTA,*,NBA,82,51,31,.622,34.4,75.5,28.2,58.1,6.2,17.4,23.7,30.9,9.9,27.1,37.0,18.9,7.6,5.3,15.0,24.5,98.6
363,2006-07,TOR,*,NBA,82,47,35,.573,37.2,80.4,30.7,62.2,6.5,18.2,17.6,23.3,10.3,32.2,42.5,21.2,6.0,3.9,15.1,21.8,98.5
364,2006-07,SEA,,NBA,82,31,51,.378,38.1,80.1,31.8,62.6,6.3,17.5,19.5,25.9,11.6,29.4,41.0,22.8,7.2,4.2,15.0,19.9,102.0
365,2006-07,SAS,*,NBA,82,58,24,.707,34.9,78.8,30.4,65.4,4.5,13.4,15.9,21.4,10.1,29.0,39.1,17.3,7.1,4.1,14.3,21.2,90.1
366,2006-07,SAC,,NBA,82,33,49,.402,38.4,81.4,31.6,62.8,6.8,18.6,19.5,25.8,11.1,32.3,43.4,22.4,7.0,4.9,16.3,24.3,103.1
367,2006-07,POR,,NBA,82,32,50,.390,36.1,76.7,30.4,61.0,5.7,15.8,20.5,26.3,10.4,28.6,39.0,20.8,6.6,4.6,13.7,21.3,98.4
368,2006-07,PHO,*,NBA,82,61,21,.744,39.5,86.4,33.3,69.5,6.1,16.9,17.8,23.2,12.3,30.5,42.8,18.9,6.9,3.7,15.1,21.5,102.9
369,2006-07,PHI,,NBA,82,35,47,.427,37.1,80.1,30.9,62.8,6.1,17.4,17.7,23.5,11.8,29.3,41.1,22.3,7.4,3.9,15.6,22.0,98.0
370,2006-07,ORL,*,NBA,82,40,42,.488,33.4,75.5,27.8,59.6,5.6,15.9,21.6,28.4,10.5,27.0,37.6,19.6,8.3,4.6,15.0,23.4,94.0
371,2006-07,NYK,,NBA,82,33,49,.402,36.8,80.1,29.9,61.5,7.0,18.6,19.7,26.0,10.8,28.0,38.8,21.3,7.5,5.0,13.7,22.9,100.3
372,2006-07,NOK,,NBA,82,39,43,.476,36.6,80.2,29.8,61.0,6.8,19.2,17.0,22.4,10.4,30.4,40.8,20.8,6.8,4.8,13.6,21.1,97.1
373,2006-07,NJN,*,NBA,82,41,41,.500,35.5,79.0,29.2,61.2,6.3,17.7,21.0,27.6,10.6,30.8,41.4,22.0,7.1,4.5,14.5,23.0,98.3
374,2006-07,MIN,,NBA,82,32,50,.390,37.5,81.6,31.2,63.4,6.3,18.1,18.4,24.2,11.7,29.7,41.4,21.7,7.1,4.4,14.2,20.5,99.7
375,2006-07,MIL,,NBA,82,28,54,.341,39.0,81.4,32.1,62.6,6.9,18.7,19.1,25.7,13.0,30.1,43.0,25.3,7.5,5.3,15.7,21.0,104.0
376,2006-07,MIA,*,NBA,82,44,38,.537,35.3,79.5,28.8,61.2,6.5,18.2,18.5,24.9,11.2,30.1,41.3,20.2,6.9,3.8,14.5,21.8,95.5
377,2006-07,MEM,,NBA,82,22,60,.268,40.1,82.5,33.1,64.4,7.0,18.0,19.5,25.8,11.8,30.3,42.0,25.1,8.3,5.5,15.3,24.3,106.7
378,2006-07,LAL,*,NBA,82,42,40,.512,37.8,81.9,31.4,64.1,6.4,17.8,21.5,28.3,11.6,30.6,42.2,21.9,7.9,5.0,14.7,23.4,103.4
379,2006-07,LAC,,NBA,82,40,42,.488,35.5,78.5,30.0,62.1,5.5,16.4,19.5,26.1,10.3,29.0,39.3,21.0,7.1,3.9,13.8,22.3,96.1
380,2006-07,IND,,NBA,82,35,47,.427,35.7,78.2,30.4,63.9,5.3,14.3,21.2,28.2,11.2,30.5,41.6,20.0,7.9,5.0,15.7,23.7,98.0
381,2006-07,HOU,*,NBA,82,52,30,.634,34.1,79.3,28.3,62.9,5.8,16.4,18.3,24.4,9.8,31.1,40.8,19.4,7.0,4.3,14.2,19.9,92.1
382,2006-07,GSW,*,NBA,82,42,40,.512,38.7,83.8,31.2,63.5,7.4,20.3,22.1,29.5,13.1,33.3,46.4,24.7,8.3,4.9,18.6,22.3,106.9
383,2006-07,DET,*,NBA,82,53,29,.646,34.4,77.3,29.4,62.6,5.0,14.7,18.1,24.5,11.9,29.3,41.2,20.1,6.4,3.5,14.7,20.3,91.8
384,2006-07,DEN,*,NBA,82,45,37,.549,39.7,86.4,33.0,67.3,6.8,19.1,17.5,23.7,12.3,30.0,42.3,24.5,8.3,5.2,16.4,23.7,103.7
385,2006-07,DAL,*,NBA,82,67,15,.817,34.0,76.1,29.5,63.0,4.6,13.1,20.2,27.0,10.2,27.9,38.1,17.9,6.9,3.8,14.5,22.1,92.8
386,2006-07,CLE,*,NBA,82,50,32,.610,34.6,77.3,29.7,62.3,4.9,15.0,18.8,25.6,9.8,30.0,39.9,20.1,6.6,4.3,15.3,22.0,92.9
387,2006-07,CHI,*,NBA,82,49,33,.598,34.1,78.2,28.2,61.3,5.9,16.9,19.7,27.1,10.9,30.0,40.9,20.4,7.5,5.3,17.4,23.2,93.8
388,2006-07,CHA,,NBA,82,33,49,.402,36.6,78.7,31.1,63.5,5.5,15.2,22.0,29.3,11.3,31.2,42.6,20.9,7.4,5.3,15.8,21.8,100.6
389,2006-07,BOS,,NBA,82,24,58,.293,36.2,77.3,30.9,62.5,5.2,14.8,21.7,29.0,10.3,30.2,40.5,22.1,7.4,5.5,15.2,21.4,99.2
390,2006-07,ATL,,NBA,82,30,52,.366,36.0,77.3,30.3,62.2,5.7,15.1,20.7,28.2,11.6,28.9,40.5,21.1,7.3,5.1,15.2,22.6,98.4
391,2005-06,WAS,*,NBA,82,42,40,.512,36.8,79.0,30.6,62.2,6.1,16.8,20.2,27.1,11.8,30.2,42.0,21.5,6.5,4.2,16.2,25.3,99.8
392,2005-06,UTA,,NBA,82,41,41,.500,33.3,74.1,27.3,58.3,6.0,15.8,22.4,30.1,10.6,27.3,37.9,18.4,8.1,5.6,14.2,25.7,95.0
393,2005-06,TOR,,NBA,82,27,55,.329,38.6,78.6,32.4,62.0,6.2,16.6,20.7,27.6,10.2,31.0,41.1,23.6,6.3,4.4,14.2,22.4,104.0
394,2005-06,SEA,,NBA,82,35,47,.427,39.0,80.4,32.4,62.8,6.6,17.6,20.9,27.5,12.2,28.2,40.5,24.1,7.3,4.9,14.6,22.2,105.6
395,2005-06,SAS,*,NBA,82,63,19,.768,33.9,78.3,30.3,67.5,3.7,10.8,17.2,23.3,10.8,29.5,40.3,16.3,7.3,4.2,13.9,20.8,88.8
396,2005-06,SAC,*,NBA,82,44,38,.537,37.2,82.0,31.6,66.0,5.6,16.0,17.2,23.1,11.6,30.5,42.1,21.1,8.0,4.9,14.6,23.0,97.3
397,2005-06,POR,,NBA,82,21,61,.256,37.0,78.9,30.9,63.0,6.1,15.9,18.3,24.0,12.5,29.8,42.4,21.2,7.2,4.9,12.9,20.8,98.3
398,2005-06,PHO,*,NBA,82,54,28,.659,39.5,87.1,33.3,69.7,6.3,17.4,17.4,23.9,12.5,33.4,45.9,18.9,7.2,3.4,14.9,19.8,102.8
399,2005-06,PHI,,NBA,82,38,44,.463,37.8,81.7,31.7,64.4,6.1,17.3,19.6,25.7,11.9,30.9,42.8,23.0,7.7,4.7,15.5,23.1,101.3
400,2005-06,ORL,,NBA,82,36,46,.439,35.0,77.2,29.4,61.5,5.6,15.7,20.4,27.9,11.1,27.3,38.4,20.0,7.5,4.7,13.4,23.2,96.0
401,2005-06,NYK,,NBA,82,23,59,.280,36.2,77.5,29.3,59.3,6.9,18.2,22.8,30.2,10.8,27.8,38.6,21.3,8.2,5.3,14.1,25.4,102.0
402,2005-06,NOK,,NBA,82,38,44,.463,35.2,76.7,28.5,58.5,6.7,18.1,18.7,24.6,10.5,30.5,41.0,19.3,6.4,5.3,14.6,23.3,95.6
403,2005-06,NJN,*,NBA,82,49,33,.598,33.3,75.9,27.6,59.6,5.7,16.3,20.2,27.2,9.6,31.7,41.3,20.0,7.2,4.0,14.4,23.0,92.4
404,2005-06,MIN,,NBA,82,33,49,.402,34.8,79.0,29.3,64.0,5.5,15.0,18.6,25.3,11.9,29.4,41.3,19.0,6.6,4.6,13.9,21.2,93.6
405,2005-06,MIL,*,NBA,82,40,42,.488,36.2,77.8,30.3,61.0,6.0,16.9,20.4,27.3,10.1,30.2,40.3,22.5,7.4,5.0,14.4,23.6,98.8
406,2005-06,MIA,*,NBA,82,52,30,.634,35.0,79.6,29.0,63.0,6.0,16.6,20.0,27.1,10.1,28.8,38.8,19.5,6.8,3.6,13.0,23.6,96.0
407,2005-06,MEM,*,NBA,82,49,33,.598,32.8,75.3,27.8,60.4,5.0,14.9,17.9,23.7,11.3,29.3,40.6,19.6,7.3,5.6,14.8,22.8,88.5
408,2005-06,LAL,*,NBA,82,45,37,.549,35.9,79.8,30.1,63.5,5.8,16.4,19.3,25.9,10.9,29.3,40.1,21.1,6.5,4.3,14.1,23.5,96.9
409,2005-06,LAC,*,NBA,82,47,35,.573,35.2,81.0,29.4,64.3,5.8,16.7,19.4,26.5,10.5,29.7,40.1,21.5,7.0,4.3,12.8,21.7,95.6
410,2005-06,IND,*,NBA,82,41,41,.500,34.5,79.3,30.0,66.1,4.5,13.2,18.4,25.1,11.8,29.5,41.3,18.5,8.1,4.9,13.6,22.0,92.0
411,2005-06,HOU,,NBA,82,34,48,.415,33.0,77.0,26.4,59.1,6.6,17.9,19.0,26.0,10.7,30.2,40.9,20.1,7.1,4.5,13.3,20.9,91.7
412,2005-06,GSW,,NBA,82,34,48,.415,37.2,81.4,31.4,65.1,5.7,16.3,19.8,26.7,12.0,32.5,44.5,22.3,7.0,5.0,15.3,23.4,99.8
413,2005-06,DET,*,NBA,82,64,18,.780,35.5,78.7,31.5,66.3,4.0,12.3,15.1,20.5,11.6,29.3,40.9,18.8,5.9,3.5,14.0,21.0,90.2
414,2005-06,DEN,*,NBA,82,44,38,.537,37.4,82.5,31.0,64.4,6.5,18.0,18.8,25.5,11.8,30.1,41.9,23.9,7.1,5.3,16.1,23.3,100.1
415,2005-06,DAL,*,NBA,82,60,22,.732,34.2,77.1,29.2,63.4,4.9,13.7,19.8,26.4,11.4,26.9,38.3,17.5,6.5,4.9,14.0,23.9,93.1
416,2005-06,CLE,*,NBA,82,50,32,.610,36.0,79.0,30.4,63.3,5.6,15.7,17.8,24.0,9.8,29.5,39.4,20.3,6.6,4.4,13.2,22.5,95.4
417,2005-06,CHI,*,NBA,82,41,41,.500,33.8,79.5,27.7,62.0,6.1,17.4,23.4,30.1,10.7,31.0,41.7,20.1,7.5,5.1,15.0,23.0,97.2
418,2005-06,CHA,,NBA,82,26,56,.317,37.4,78.2,31.8,62.5,5.6,15.7,20.5,27.8,11.5,32.5,44.0,22.9,7.0,5.4,17.9,23.5,100.9
419,2005-06,BOS,,NBA,82,33,49,.402,35.9,78.8,30.5,63.4,5.4,15.4,22.3,30.0,11.1,28.9,40.0,21.5,8.4,4.9,14.8,22.4,99.5
420,2005-06,ATL,,NBA,82,26,56,.317,37.5,78.5,32.1,63.8,5.4,14.7,21.6,28.9,12.0,28.5,40.4,20.6,7.3,5.1,15.0,22.6,102.0
421,2004-05,WAS,*,NBA,82,45,37,.549,37.8,82.3,31.4,64.8,6.4,17.5,18.9,24.8,12.4,30.6,43.0,23.0,7.1,5.0,15.9,24.3,100.8
422,2004-05,UTA,,NBA,82,26,56,.317,33.3,72.7,27.4,56.9,5.9,15.8,24.7,32.4,10.5,27.2,37.7,19.4,7.9,5.8,14.4,25.1,97.3
423,2004-05,TOR,,NBA,82,33,49,.402,38.2,81.8,32.9,66.9,5.3,14.9,19.6,26.4,12.1,33.2,45.3,22.1,6.2,4.4,14.4,21.9,101.4
424,2004-05,SEA,*,NBA,82,52,30,.634,35.8,77.8,30.0,61.8,5.7,16.1,19.4,25.9,11.3,26.5,37.9,20.7,6.2,4.8,13.2,23.8,96.6
425,2004-05,SAS,*,NBA,82,59,23,.720,33.1,77.5,29.1,66.8,3.9,10.7,18.3,23.8,10.9,29.3,40.2,16.9,7.2,5.1,15.1,23.1,88.4
426,2004-05,SAC,*,NBA,82,50,32,.610,38.9,84.6,33.1,68.6,5.7,16.1,18.1,24.5,13.4,30.9,44.3,21.5,7.6,4.5,14.7,21.5,101.6
427,2004-05,POR,,NBA,82,27,55,.329,37.3,83.4,31.9,67.8,5.4,15.6,17.0,22.6,14.0,28.2,42.2,23.5,8.5,5.0,13.4,20.4,96.9
428,2004-05,PHO,*,NBA,82,62,20,.756,40.6,91.3,34.6,73.3,6.0,18.0,16.1,21.6,15.0,31.1,46.1,21.2,7.6,4.2,13.8,21.3,103.3
429,2004-05,PHI,*,NBA,82,43,39,.524,35.7,80.7,28.8,61.7,6.9,19.0,21.5,28.0,11.6,32.5,44.1,22.9,8.3,4.7,17.0,23.5,99.9
430,2004-05,ORL,,NBA,82,36,46,.439,37.6,83.2,32.2,67.5,5.4,15.7,21.2,28.1,12.5,29.6,42.1,21.3,8.5,4.3,14.5,23.4,101.8
431,2004-05,NYK,,NBA,82,33,49,.402,36.6,78.7,30.9,63.1,5.7,15.6,20.9,27.6,11.8,29.9,41.7,20.7,7.3,4.7,14.6,21.2,99.7
432,2004-05,NOH,,NBA,82,18,64,.220,34.7,76.8,28.7,60.4,6.0,16.4,20.0,25.9,11.5,30.3,41.9,21.2,7.7,5.5,14.2,21.1,95.5
433,2004-05,NJN,*,NBA,82,42,40,.512,33.0,75.2,27.1,59.1,5.9,16.1,20.9,28.1,10.7,30.5,41.2,20.3,7.3,4.9,15.6,22.9,92.9
434,2004-05,MIN,,NBA,82,44,38,.537,36.2,82.6,30.5,66.9,5.7,15.7,17.2,22.9,12.6,28.8,41.4,21.7,6.6,3.9,11.7,19.9,95.3
435,2004-05,MIL,,NBA,82,30,52,.366,37.8,81.4,32.1,65.0,5.6,16.5,19.0,24.7,11.4,29.4,40.8,23.8,7.5,4.5,13.0,23.8,100.2
436,2004-05,MIA,*,NBA,82,59,23,.720,34.9,81.8,29.6,66.3,5.4,15.5,19.8,26.0,11.2,29.2,40.5,19.8,7.5,3.2,13.2,24.6,95.0
437,2004-05,MEM,*,NBA,82,45,37,.549,32.7,75.8,27.5,61.0,5.2,14.8,20.5,26.6,12.1,29.1,41.2,19.9,7.5,5.8,15.9,22.6,91.1
438,2004-05,LAL,,NBA,82,34,48,.415,38.3,84.5,31.6,65.9,6.7,18.6,18.4,23.5,12.5,29.9,42.4,24.4,7.6,5.1,11.8,22.1,101.7
439,2004-05,LAC,,NBA,82,37,45,.451,35.8,80.7,29.9,64.6,5.9,16.1,19.0,24.9,12.0,27.5,39.5,21.1,7.8,4.8,13.7,23.6,96.5
440,2004-05,IND,*,NBA,82,44,38,.537,33.8,76.6,29.0,63.6,4.8,13.1,20.0,26.9,11.9,29.5,41.3,18.8,6.7,4.9,13.9,23.0,92.2
441,2004-05,HOU,*,NBA,82,51,31,.622,33.2,78.3,27.6,62.0,5.5,16.4,19.2,25.8,10.9,29.8,40.7,20.7,7.4,4.1,13.3,21.6,91.0
442,2004-05,GSW,,NBA,82,34,48,.415,38.2,83.4,32.7,68.3,5.5,15.1,19.0,25.5,12.9,33.8,46.7,22.7,7.0,5.1,15.3,21.7,100.9
443,2004-05,DET,*,NBA,82,54,28,.659,34.0,79.2,29.0,64.4,5.0,14.8,16.4,21.8,11.3,28.3,39.6,19.7,7.4,4.5,13.8,22.6,89.5
444,2004-05,DEN,*,NBA,82,49,33,.598,36.0,80.6,30.3,64.2,5.6,16.4,19.9,26.7,11.9,29.8,41.7,21.7,7.8,5.6,16.4,23.9,97.5
445,2004-05,DAL,*,NBA,82,58,24,.707,35.9,81.9,30.4,65.2,5.5,16.7,19.5,25.9,13.1,30.1,43.2,20.9,7.1,4.9,15.6,23.2,96.8
446,2004-05,CLE,,NBA,82,42,40,.512,35.5,78.6,30.4,64.9,5.1,13.7,19.5,26.0,11.4,28.3,39.8,21.2,6.7,5.1,14.8,21.6,95.7
447,2004-05,CHI,*,NBA,82,47,35,.573,33.7,79.9,28.6,64.7,5.1,15.2,20.9,28.1,11.9,30.8,42.7,20.9,8.4,5.3,15.5,23.3,93.4
448,2004-05,CHA,,NBA,82,18,64,.220,36.8,79.4,31.4,64.4,5.4,14.9,21.3,27.8,11.7,31.5,43.2,21.6,7.6,5.4,15.8,22.7,100.2
449,2004-05,BOS,*,NBA,82,45,37,.549,36.1,81.3,30.1,64.6,6.0,16.7,22.3,29.5,12.7,29.6,42.3,22.7,8.7,4.9,15.6,23.6,100.4
450,2004-05,ATL,,NBA,82,13,69,.159,37.1,77.9,31.4,62.9,5.7,15.0,22.5,29.2,11.0,30.3,41.3,22.0,8.7,5.9,14.8,21.7,102.5
451,2003-04,WAS,,NBA,82,25,57,.305,37.3,82.2,32.2,67.1,5.2,15.1,17.6,22.9,12.8,30.7,43.5,24.0,9.6,5.5,16.1,21.7,97.4
452,2003-04,UTA,,NBA,82,42,40,.512,31.0,71.7,25.9,57.0,5.1,14.7,22.9,29.6,10.6,26.0,36.6,18.6,8.1,6.5,15.4,24.4,89.9
453,2003-04,TOR,,NBA,82,33,49,.402,33.2,77.6,29.9,66.8,3.3,10.8,18.7,25.1,12.6,32.5,45.1,18.5,7.2,4.1,14.6,19.7,88.5
454,2003-04,SEA,,NBA,82,37,45,.451,36.3,80.8,30.4,63.8,5.9,17.0,19.1,24.7,13.0,29.6,42.7,21.1,7.7,4.7,14.8,20.2,97.8
455,2003-04,SAS,*,NBA,82,57,25,.695,31.9,77.9,28.1,66.3,3.8,11.6,16.7,22.5,11.1,30.0,41.1,17.3,7.7,4.6,15.3,22.4,84.3
456,2003-04,SAC,*,NBA,82,55,27,.671,38.3,84.4,33.3,69.7,5.0,14.7,16.3,21.7,13.2,30.7,43.9,21.3,7.9,5.0,14.9,22.2,97.8
457,2003-04,POR,,NBA,82,41,41,.500,36.0,80.1,30.9,65.2,5.1,14.9,14.9,19.7,12.4,28.0,40.3,23.3,8.0,4.8,13.7,18.7,92.0
458,2003-04,PHO,,NBA,82,29,53,.354,36.3,81.4,30.4,64.6,5.8,16.8,19.5,25.5,12.7,31.1,43.8,21.5,7.9,5.3,15.9,19.4,97.9
459,2003-04,PHI,,NBA,82,33,49,.402,33.5,77.7,28.1,61.5,5.4,16.2,18.0,24.2,12.1,29.2,41.4,21.3,8.3,5.6,15.2,21.4,90.5
460,2003-04,ORL,,NBA,82,21,61,.256,38.6,83.0,32.7,67.1,6.0,15.9,17.8,24.0,13.1,31.3,44.4,24.4,7.6,5.5,13.5,20.6,101.1
461,2003-04,NYK,*,NBA,82,39,43,.476,34.0,79.2,28.9,64.2,5.1,15.0,20.5,26.8,11.6,29.8,41.4,20.4,8.2,4.7,13.8,19.5,93.5
462,2003-04,NOH,*,NBA,82,41,41,.500,34.7,78.6,29.3,62.7,5.4,15.9,17.2,22.9,11.9,30.2,42.1,21.8,7.5,5.2,15.6,21.1,91.9
463,2003-04,NJN,*,NBA,82,47,35,.573,32.8,76.9,27.7,62.3,5.1,14.5,17.0,22.3,10.6,30.1,40.8,19.8,8.0,4.6,16.1,21.2,87.8
464,2003-04,MIN,*,NBA,82,58,24,.707,33.4,80.8,28.6,66.4,4.8,14.4,17.4,23.1,12.2,29.3,41.5,20.7,6.7,3.6,13.5,20.2,89.1
465,2003-04,MIL,*,NBA,82,41,41,.500,37.0,81.9,31.4,66.1,5.6,15.8,17.4,23.6,12.0,30.7,42.7,22.8,7.5,5.0,14.2,22.9,97.0
466,2003-04,MIA,*,NBA,82,42,40,.512,32.4,75.7,27.2,60.4,5.3,15.3,19.7,25.6,10.9,30.3,41.2,18.6,7.0,5.4,14.7,21.1,89.7
467,2003-04,MEM,*,NBA,82,50,32,.610,34.9,79.9,30.4,66.6,4.5,13.3,20.0,26.2,13.4,30.6,44.0,20.4,8.2,5.6,17.0,23.1,94.3
468,2003-04,LAL,*,NBA,82,56,26,.683,35.6,81.0,30.5,65.8,5.1,15.2,18.0,24.0,11.2,31.2,42.4,20.8,7.5,3.8,15.3,24.7,94.3
469,2003-04,LAC,,NBA,82,28,54,.341,37.5,81.5,32.0,66.2,5.5,15.3,18.8,25.4,12.6,28.8,41.4,22.9,8.5,5.3,13.7,22.7,99.4
470,2003-04,IND,*,NBA,82,61,21,.744,32.6,75.4,28.6,63.0,4.0,12.4,16.5,22.0,10.6,29.5,40.1,20.1,7.1,6.2,15.9,21.9,85.6
471,2003-04,HOU,*,NBA,82,45,37,.549,32.1,78.1,26.6,63.1,5.6,15.0,18.2,24.7,11.1,28.7,39.7,20.6,8.7,4.4,13.5,20.7,88.0
472,2003-04,GSW,,NBA,82,37,45,.451,36.0,80.9,30.9,67.4,5.0,13.5,17.1,22.9,12.0,30.9,42.8,21.5,8.1,5.1,14.0,22.0,94.0
473,2003-04,DET,*,NBA,82,54,28,.659,32.1,77.8,27.8,63.4,4.3,14.4,15.7,21.1,12.0,28.7,40.6,19.0,7.9,5.0,16.0,22.9,84.3
474,2003-04,DEN,*,NBA,82,43,39,.524,36.8,81.2,32.2,68.4,4.6,12.9,17.9,24.6,12.9,30.1,42.9,23.5,8.1,5.8,17.1,23.1,96.1
475,2003-04,DAL,*,NBA,82,52,30,.634,38.2,83.2,31.7,65.3,6.5,17.9,17.8,23.9,12.3,31.2,43.5,23.6,7.1,4.7,15.1,20.6,100.8
476,2003-04,CLE,,NBA,82,35,47,.427,36.0,82.4,30.8,68.3,5.3,14.2,18.2,24.3,11.8,30.2,42.0,21.7,7.7,5.3,13.1,20.2,95.5
477,2003-04,CHI,,NBA,82,23,59,.280,35.1,80.6,29.8,65.6,5.4,15.1,20.4,27.3,12.3,32.7,45.0,23.0,8.5,5.4,15.2,20.5,96.0
478,2003-04,BOS,*,NBA,82,36,46,.439,35.3,80.8,28.5,62.1,6.8,18.7,19.4,26.3,13.0,30.8,43.8,23.0,8.8,5.0,17.1,22.2,96.7
479,2003-04,ATL,,NBA,82,28,54,.341,36.2,82.2,30.3,65.8,5.9,16.4,19.2,25.3,12.8,30.3,43.1,22.0,8.9,5.1,14.0,20.7,97.5
480,2002-03,WAS,,NBA,82,37,45,.451,35.1,79.4,29.6,64.2,5.5,15.1,16.9,21.9,11.6,29.8,41.4,21.7,7.5,4.4,14.3,22.0,92.5
481,2002-03,UTA,*,NBA,82,47,35,.573,33.5,77.4,28.2,62.1,5.3,15.3,19.8,26.1,12.3,25.9,38.2,19.5,8.8,5.2,15.9,23.8,92.3
482,2002-03,TOR,,NBA,82,24,58,.293,37.0,80.4,32.5,68.4,4.5,12.0,18.2,24.0,11.9,31.7,43.6,21.1,7.4,5.0,13.7,20.8,96.8
483,2002-03,SEA,,NBA,82,40,42,.488,35.0,78.3,29.3,61.6,5.8,16.7,16.5,22.2,11.4,30.0,41.5,20.8,6.1,5.0,14.7,20.4,92.3
484,2002-03,SAS,*,NBA,82,60,22,.732,34.9,81.7,30.6,69.0,4.3,12.7,16.3,21.2,12.5,28.3,40.9,19.0,8.1,5.1,15.0,23.4,90.4
485,2002-03,SAC,*,NBA,82,59,23,.720,36.5,86.9,31.9,72.7,4.5,14.2,17.7,23.9,14.0,31.9,45.8,21.5,8.3,4.3,15.4,19.9,95.2
